iter	Passed	Remaining
405	770	1127
406	771	1124
407	772	1121
408	776	1121
409	778	1119
410	779	1116
411	779	1113
412	782	1111
413	783	1108
414	784	1105
415	786	1103
416	787	1100
417	788	1097
418	789	1094
419	789	1090
420	790	1087
421	791	1084
422	792	1081
423	793	1077
424	793	1074
425	794	1071
426	797	1070
427	798	1067
428	799	1064
429	800	1061
430	801	1058
431	802	1055
432	803	1052
433	805	1050
434	807	1048
435	807	1045
436	809	1042
437	810	1039
438	810	1036
439	811	1033
440	812	1029
441	813	1026
442	814	1023
443	814	1020
444	815	1017
445	817	1014
446	817	1011
447	818	1008
448	820	1006
449	820	1003
450	822	1000
451	823	997
452	824	995
453	824	992
454	825	989
455	826	986
456	827	983
457	828	980
458	829	977
459	830	974
460	831	971
461	832	969
462	834	967
463	835	964
464	836	961
465	836	959
466	839	957
467	840	954
468	841	952
469	841	949
470	842	946
471	843	943
472	844	940
473	845	937
474	845	934
475	846	932
476	847	929
477	850	928
478	851	925
479	852	923
480	853	920
481	854	917
482	854	915
483	856	912
484	856	909
485	857	907
486	858	904
487	859	901
488	860	898
489	862	897
490	865	897
491	867	895
492	870	895
493	873	894
494	876	894
495	879	893
496	885	895
497	889	896
498	891	895
499	895	895
500	898	894
501	904	897
502	907	896
503	908	894
504	912	894
505	915	893
506	918	893
507	926	897
508	929	896
509	935	898
510	943	902
511	943	899
512	944	896
513	946	894
514	947	892
515	948	889
516	949	887
517	950	884
518	951	881
519	951	878
520	952	875
521	953	872
522	953	869
523	954	866
524	954	863
525	955	860
526	955	857
527	956	855
528	957	852
529	958	850
530	959	847
531	960	844
532	961	842
533	962	839
534	963	837
535	964	834
536	965	832
537	966	829
538	968	828
539	969	825
540	970	823
541	971	821
542	972	818
543	972	815
544	973	812
545	974	810
546	975	807
547	976	805
548	977	802
549	978	800
550	981	799
551	982	797
552	983	794
553	983	791
554	984	789
555	984	786
556	985	783
557	985	780
558	987	779
559	988	776
560	988	773
561	989	771
562	990	768
563	991	766
564	991	763
565	992	761
566	993	758
567	994	756
568	994	753
569	995	750
570	996	748
571	996	745
572	997	743
573	997	740
574	998	738
575	999	735
576	999	732
577	1000	730
578	1001	728
579	1002	726
580	1004	724
581	1005	722
582	1006	720
583	1007	717
584	1008	715
585	1010	713
586	1010	711
587	1012	709
588	1013	707
589	1014	704
590	1015	702
591	1016	700
592	1017	698
593	1018	696
594	1019	694
595	1021	692
596	1022	690
597	1024	688
598	1025	686
599	1026	684
600	1027	682
601	1028	679
602	1042	686
603	1044	684
604	1045	682
605	1046	680
606	1047	678
607	1048	675
608	1049	673
609	1050	671
610	1050	669
611	1051	666
612	1052	664
613	1055	663
614	1056	661
615	1057	659
616	1058	657
617	1059	655
618	1060	652
619	1061	650
620	1064	649
621	1065	647
622	1066	645
623	1068	643
624	1069	641
625	1070	639
626	1071	637
627	1073	636
628	1074	633
629	1075	631
630	1076	629
631	1077	627
632	1078	625
633	1079	623
634	1080	620
635	1081	618
636	1082	616
637	1094	620
638	1095	619
639	1096	617
640	1117	625
641	1121	625
642	1122	623
643	1125	622
644	1126	619
645	1127	617
646	1131	617
647	1147	623
648	1148	621
649	1149	618
650	1149	616
651	1151	614
652	1151	612
653	1153	610
654	1154	608
655	1155	605
656	1156	603
657	1157	601
658	1158	599
659	1160	598
660	1167	598
661	1167	596
662	1168	594
663	1170	592
664	1171	590
665	1181	592
666	1183	591
667	1185	588
668	1186	586
669	1187	584
670	1188	582
671	1189	580
672	1190	578
673	1190	576
674	1191	573
675	1192	571
676	1199	572
677	1200	570
678	1202	568
679	1203	566
680	1203	563
681	1204	561
682	1205	559
683	1205	557
684	1207	555
685	1213	555
686	1215	553
687	1216	551
688	1217	549
689	1217	547
690	1218	544
691	1219	542
692	1220	540
693	1221	538
694	1222	536
695	1223	534
696	1224	532
697	1227	531
698	1228	529
699	1229	527
700	1231	525
701	1231	522
702	1232	520
703	1233	518
704	1233	516
705	1234	514
706	1235	511
707	1236	509
708	1237	507
709	1238	505
710	1239	503
711	1240	501
712	1241	499
713	1242	497
714	1243	495
715	1243	493
716	1244	491
717	1244	488
718	1245	486
719	1246	484
720	1246	482
721	1248	480
722	1249	478
723	1250	476
724	1251	474
725	1252	472
726	1254	470
727	1255	468
728	1256	467
729	1257	465
730	1258	463
731	1259	461
732	1260	459
733	1261	457
734	1261	454
735	1262	452
736	1263	450
737	1264	449
738	1265	447
739	1266	445
740	1267	443
741	1268	441
742	1269	439
743	1270	437
744	1271	435
745	1273	433
746	1279	433
747	1280	431
748	1281	429
749	1281	427
750	1282	425
751	1284	423
752	1285	421
753	1287	419
754	1288	418
755	1289	416
756	1290	414
757	1291	412
758	1292	410
759	1293	408
760	1294	406
761	1307	408
762	1309	406
763	1310	404
764	1311	402
765	1312	400
766	1313	398
767	1314	397
768	1315	395
769	1316	393
770	1317	391
771	1318	389
772	1328	390
773	1330	388
774	1331	386
775	1332	384
776	1333	382
777	1334	380
778	1336	379
779	1337	377
780	1337	375
781	1345	375
782	1347	373
783	1348	371
784	1349	369
785	1349	367
786	1350	365
787	1351	363
788	1352	361
789	1353	359
790	1354	357
791	1355	355
792	1356	354
793	1358	352
794	1359	350
795	1360	348
796	1360	346
797	1361	344
798	1362	342
799	1363	340
800	1364	338
801	1365	337
802	1366	335
803	1366	333
804	1367	331
805	1368	329
806	1368	327
807	1369	325
808	1371	323
809	1371	321
810	1375	320
811	1376	318
812	1376	316
813	1377	314
814	1378	312
815	1378	310
816	1379	309
817	1380	307
818	1382	305
819	1384	303
820	1385	302
821	1388	300
822	1390	299
823	1392	297
824	1393	295
825	1394	293
826	1395	291
827	1396	290
828	1396	288
829	1397	286
830	1398	284
831	1402	283
832	1403	281
833	1404	279
834	1404	277
835	1405	275
836	1406	273
837	1406	271
838	1408	270
839	1409	268
840	1410	266
841	1411	264
842	1412	263
843	1413	261
844	1413	259
845	1414	257
846	1414	255
847	1415	253
848	1416	252
849	1418	250
850	1420	248
851	1420	246
852	1421	245
853	1422	243
854	1422	241
855	1423	239
856	1424	237
857	1425	235
858	1426	234
859	1428	232
860	1429	230
861	1430	229
862	1432	227
863	1435	226
864	1436	224
865	1437	222
866	1438	220
867	1439	218
868	1440	217
869	1442	215
870	1446	214
871	1448	212
872	1449	210
873	1450	209
874	1451	207
875	1452	205
876	1453	203
877	1456	202
878	1457	200
879	1458	198
880	1459	197
881	1460	195
882	1461	193
883	1461	191
884	1463	190
885	1464	188
886	1466	186
887	1467	185
888	1468	183
889	1470	181
890	1471	179
891	1472	178
892	1474	176
893	1475	174
894	1477	173
895	1478	171
896	1479	169
897	1482	168
898	1483	166
899	1484	164
900	1485	163
901	1486	161
902	1487	159
903	1488	158
904	1489	156
905	1490	154
906	1491	152
907	1492	151
908	1494	149
909	1495	147
910	1496	146
911	1497	144
912	1499	142
913	1500	141
914	1501	139
915	1502	137
916	1502	136
917	1504	134
918	1506	132
919	1507	131
920	1507	129
921	1508	127
922	1509	125
923	1510	124
924	1513	122
925	1514	121
926	1516	119
927	1516	117
928	1517	116
929	1518	114
930	1519	112
931	1520	110
932	1522	109
933	1523	107
934	1524	105
935	1525	104
936	1527	102
937	1528	101
938	1531	99
939	1532	97
940	1533	96
941	1534	94
942	1535	92
943	1536	91
944	1537	89
945	1538	87
946	1539	86
947	1540	84
948	1541	82
949	1541	81
950	1542	79
951	1543	77
952	1543	76
953	1544	74
954	1545	72
955	1546	71
956	1547	69
957	1548	67
958	1549	66
959	1550	64
960	1550	62
961	1551	61
962	1552	59
963	1552	57
964	1553	56
965	1554	54
966	1555	53
967	1556	51
968	1557	49
969	1558	48
970	1559	46
971	1559	44
972	1560	43
973	1561	41
974	1561	40
975	1562	38
976	1563	36
977	1564	35
978	1565	33
979	1566	31
980	1566	30
981	1567	28
982	1567	27
983	1568	25
984	1568	23
985	1569	22
986	1570	20
987	1571	19
988	1572	17
989	1573	15
990	1574	14
991	1575	12
992	1575	11
993	1576	9
994	1576	7
995	1577	6
996	1579	4
997	1580	3
998	1582	1
999	1583	0
